task_id,model,ground_truth_rating,ground_truth_category,predicted_rating,predicted_category,vulnerable_lines,rating_correct,category_correct,latency_sec,success,error,raw_response
access_control_phishable.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[20],True,True,9.7124,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [20]
}"
access_control_proxy.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[19],True,True,9.431,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [19]
}"
access_control_rubixi.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,"[23, 24]",True,True,34.0793,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [23, 24]
}"
access_control_simple_suicide.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,"[12, 13]",True,True,9.885,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [12, 13]
}"
access_control_unprotected0.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[25],True,True,10.414,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [25]
}"
access_control_wallet_02_refund_nosub.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[36],True,True,12.6997,True,,"{
    ""rating"": ""VULNERABLE"",
    ""vulnerability_category"": ""access_control"",
    ""vulnerable_lines"": [36]
}"
access_control_wallet_03_wrong_constructor.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,"[19, 20]",True,True,12.6227,True,,"{
    ""rating"": ""VULNERABLE"",
    ""vulnerability_category"": ""access_control"",
    ""vulnerable_lines"": [19, 20]
}"
access_control_wallet_04_confused_sign.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[30],True,True,12.0119,True,,"{
    ""rating"": ""VULNERABLE"",
    ""vulnerability_category"": ""access_control"",
    ""vulnerable_lines"": [30]
}"
arithmetic_BECToken.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[264],True,False,55.8587,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [264]
}"
arithmetic_insecure_transfer.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[18],True,False,10.4151,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [18]
}"
arithmetic_integer_overflow_1.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[14],True,False,10.0558,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [14]
}"
arithmetic_integer_overflow_add.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[17],True,False,9.3544,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [17]
}"
arithmetic_integer_overflow_benign_1.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,SAFE,none,[],False,False,13.1804,True,,"{
  ""rating"": ""SAFE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": []
}"
arithmetic_integer_overflow_mapping_sym_1.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[16],True,False,14.2213,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""true"",
  ""unchecked_call"": ""false"",
  ""vulnerable_lines"": [16]
}"
arithmetic_integer_overflow_minimal.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[17],True,False,9.396,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [17]
}"
arithmetic_integer_overflow_mul.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[17],True,False,9.3737,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [17]
}"
arithmetic_integer_overflow_multitx_multifunc_feasible.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[25],True,False,10.2837,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [25]
}"
arithmetic_integer_overflow_multitx_onefunc_feasible.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[22],True,False,10.1786,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [22]
}"
arithmetic_overflow_simple_add.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[14],True,False,9.0645,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [14]
}"
arithmetic_overflow_single_tx.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,"[18, 24, 30, 36, 42, 48]",True,False,18.5433,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [18, 24, 30, 36, 42, 48]
}"
arithmetic_timelock.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,[22],True,False,15.4735,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""yes"",
  ""unchecked_call"": ""no"",
  ""vulnerable_lines"": [22]
}"
arithmetic_token.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,"[20, 22]",True,False,11.6646,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""vulnerable_lines"": [20, 22]
}"
arithmetic_tokensalechallenge.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,arithmetic,VULNERABLE,integer_overflow,"[23, 25, 33]",True,False,18.5589,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""integer_overflow"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""true"",
  ""unchecked_call"": ""false"",
  ""vulnerable_lines"": [23, 25, 33]
}"
bad_randomness_blackjack.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,bad_randomness,VULNERABLE,bad_randomness,"[17, 19, 21]",True,True,60.8977,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""bad_randomness"",
  ""vulnerable_lines"": [17, 19, 21]
}"
bad_randomness_etheraffle.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,bad_randomness,VULNERABLE,bad_randomness,"[49, 99, 101, 103, 114, 158]",True,True,36.8033,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""bad_randomness"",
  ""vulnerable_lines"": [49, 99, 101, 103, 114, 158]
}"
bad_randomness_guess_the_random_number.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,bad_randomness,VULNERABLE,bad_randomness,[15],True,True,15.4802,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""bad_randomness"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [15]
}"
bad_randomness_lottery.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,bad_randomness,VULNERABLE,bad_randomness,"[38, 42]",True,True,21.5504,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""bad_randomness"",
  ""vulnerable_lines"": [38, 42],
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none""
}"
bad_randomness_lucky_doubler.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,bad_randomness,VULNERABLE,bad_randomness,"[127, 128, 129, 130, 132]",True,True,38.8053,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""bad_randomness"",
  ""vulnerable_lines"": [127, 128, 129, 130, 132]
}"
bad_randomness_old_blockhash.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,bad_randomness,VULNERABLE,bad_randomness,[35],True,True,18.1841,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""bad_randomness"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [35]
}"
bad_randomness_random_number_generator.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,bad_randomness,VULNERABLE,bad_randomness,"[12, 18, 20, 22]",True,True,20.1177,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""bad_randomness"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [12, 18, 20, 22]
}"
bad_randomness_smart_billions.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,bad_randomness,,,[],False,False,73.6806,False,"3 validation errors for LLMPrediction
rating
  Field required [type=missing, input_value={'description': ""This is ...e Ethereum blockchain.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerability_category
  Field required [type=missing, input_value={'description': ""This is ...e Ethereum blockchain.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerable_lines
  Field required [type=missing, input_value={'description': ""This is ...e Ethereum blockchain.""}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",
denial_of_service_auction.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,denial_of_service,VULNERABLE,denial_of_service,[23],True,True,16.3992,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""denial_of_service"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""yes"",
  ""vulnerable_lines"": [23]
}"
denial_of_service_dos_address.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,denial_of_service,VULNERABLE,denial_of_service,"[16, 17, 18]",True,True,13.1225,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""denial_of_service"",
  ""vulnerable_lines"": [16, 17, 18]
}"
denial_of_service_dos_number.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,denial_of_service,VULNERABLE,denial_of_service,"[18, 19, 20, 21, 22]",True,True,16.2701,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""denial_of_service"",
  ""vulnerable_lines"": [18, 19, 20, 21, 22]
}"
denial_of_service_dos_simple.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,denial_of_service,VULNERABLE,denial_of_service,"[17, 18]",True,True,15.8581,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""denial_of_service"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [17, 18]
}"
denial_of_service_list_dos.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,denial_of_service,VULNERABLE,denial_of_service,"[46, 48]",True,True,31.1474,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""denial_of_service"",
  ""vulnerable_lines"": [46, 48]
}"
denial_of_service_send_loop.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,denial_of_service,VULNERABLE,denial_of_service,[24],True,True,17.4258,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""denial_of_service"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""yes"",
  ""vulnerable_lines"": [24]
}"
front_running_ERC20.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,front_running,VULNERABLE,front_running,"[110, 113]",True,True,27.5385,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""front_running"",
  ""vulnerable_lines"": [110, 113]
}"
front_running_FindThisHash.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,front_running,VULNERABLE,front_running,[17],True,True,14.9595,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""front_running"",
  ""access_control"": null,
  ""integer_overflow"": null,
  ""unchecked_call"": null,
  ""vulnerable_lines"": [17]
}"
front_running_eth_tx_order_dependence_minimal.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,front_running,VULNERABLE,front_running,"[23, 31]",True,True,15.7392,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""front_running"",
  ""access_control"": null,
  ""integer_overflow"": null,
  ""unchecked_call"": null,
  ""vulnerable_lines"": [23, 31]
}"
front_running_odds_and_evens.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,front_running,VULNERABLE,front_running,"[25, 28]",True,True,18.3443,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""front_running"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [25, 28]
}"
other_crypto_roulette.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,other,VULNERABLE,none,"[40, 41, 42]",True,False,16.9106,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""none"",
  ""vulnerable_lines"": [40, 41, 42]
}"
other_name_registrar.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,other,VULNERABLE,none,[21],True,False,11.3283,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""none"",
  ""vulnerable_lines"": [21]
}"
other_open_address_lottery.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,other,VULNERABLE,reentrancy,[91],True,False,31.0581,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [91]
}"
reentrancy_0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[54],True,True,21.4292,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [54]
}"
reentrancy_0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[38],True,True,18.7616,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [38]
}"
reentrancy_0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[55],True,True,16.6855,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [55]
}"
reentrancy_0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[54],True,True,15.6859,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [54]
}"
reentrancy_0x561eac93c92360949ab1f1403323e6db345cbf31.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[54],True,True,15.6124,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [54]
}"
reentrancy_0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[71],True,True,16.1846,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [71]
}"
reentrancy_0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[29],True,True,15.3407,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [29]
}"
reentrancy_0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[52],True,True,19.7825,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""yes"",
  ""vulnerable_lines"": [52]
}"
reentrancy_0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[29],True,True,15.5049,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [29]
}"
reentrancy_0x8c7777c45481dba411450c228cb692ac3d550344.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[41],True,True,14.7202,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [41]
}"
reentrancy_0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[29],True,True,15.6025,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [29]
}"
reentrancy_0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[44],True,True,14.9394,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [44]
}"
reentrancy_0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[63],True,True,17.184,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [63]
}"
reentrancy_0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[54],True,True,15.8734,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [54]
}"
reentrancy_0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[40],True,True,14.4888,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [40]
}"
reentrancy_0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[38],True,True,19.1648,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [38]
}"
reentrancy_0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[41],True,True,14.7934,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [41]
}"
reentrancy_0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[63],True,True,17.3184,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [63]
}"
reentrancy_0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[29],True,True,15.6298,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [29]
}"
reentrancy_0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[29],True,True,15.732,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [29]
}"
reentrancy_etherbank.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[21],True,True,15.3758,True,,"{
    ""rating"": ""VULNERABLE"",
    ""vulnerability_category"": ""reentrancy"",
    ""access_control"": ""none"",
    ""integer_overflow"": ""none"",
    ""unchecked_call"": ""yes"",
    ""vulnerable_lines"": [21]
}"
reentrancy_etherstore.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[27],True,True,12.0739,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [27]
}"
reentrancy_modifier_reentrancy.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[15],True,True,19.0102,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""access_control"": ""none"",
  ""integer_overflow"": ""none"",
  ""unchecked_call"": ""none"",
  ""vulnerable_lines"": [15]
}"
reentrancy_reentrance.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[24],True,True,11.5839,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [24]
}"
reentrancy_reentrancy_bonus.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[28],True,True,12.4358,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [28]
}"
reentrancy_reentrancy_cross_function.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,reentrancy,VULNERABLE,reentrancy,[24],True,True,11.7404,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""reentrancy"",
  ""vulnerable_lines"": [24]
}"
